person_id,institution,program
52,"Harrisburg University of Science and Technology, State University of New York at New Paltz","Master of Science in Information Systems Engineering & Management, Master of Science in Electrical Engineering"
53,University of Buea,Bachelor's
54,"Pune University/Fergusson College - Pune, Maharashtra",Bachelor of Science in Computer Science
55,Kabul University,Bachelor in Computer Science
56,CITY COLLEGE OF THE CITY UNIVERSITY OF NEW YORK,B.E in Computer Engineering
57,"The University of Texas at Dallas, University of Mumbai","M.S., B.E. in Electronics Engineering"
58,The Pennsylvania State University,BS in Information Sciences and Technology
59,"University of Maryland University College, Howard University","Certificate in Information Assurance, Master in Information Technology, Bachelor of Health in Health Care Management"
60,"UNIVERSITY ANA. G MENDEZ, LICEO DE ARTE Y TECNOLOGÍA","BBA in Business Administration and Information Systems, AD in Electric and Industrial Electronic Technician & Electrical Technician Assistant License"
62,University of Buea,Bachelor's in Math and Computer Science
63,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY,Bachelor of Technology in Technology
64,Duquesne University,"Bachelor of Health in Sciences, Master of Health Management Systems in Health Management Systems"
65,"University of Maryland University College, University of Maryland Baltimore County",B.S. in Psychology
66,"Databases COIN Consultancy and Training Institute, Southern State Polytechnic University",Diploma
68,University of Science and Technology,BS in Computer Science
69,"University of Ilorin, St Gabriel Comm. Sec. Sch, Raftad Computer School","B.Sc. in Computer Science, S.S.C. in Science"
70,MT. HOOD COMMUNITY COLLEGE,Associates Degree in Computer Application Specialist
71,"JNTU University, Osmania University","Master of Computer Application in Computer Application, Bsc in Computer Science"
73,Bachelor's,
74,Southern New Hampshire University,MBA in Engineering Management
75,"Westcliff University, California University of Management & Sciences, Kangwon National University","Master's in Business Administration & Finance, Master's in Business Administration, Bachelor's in electronic & telecommunication engineering"
76,"Northland College, Central Lakes College-Brainerd","None in Outdoor Education, Associate in Liberal Arts"
77,UNIVERSITY OF BUEA,BACHELORS
80,NOVA Southeastern University,Master of Science in Information Technology in database systems
81,University of Connecticut,Bachelor's in Mathematics
82,"Center Place Restoration School, Metropolitan Community College","High School Diploma, Associate of Applied Science in Information Technology"
83,La Salle University,Bachelor of Arts in History
84,"Cornell University, Arba Minch University",Bachelor of Science in Atmospheric Physics
85,Liverpool Hope University,"Master's in Business and Management, Master's in Leadership and Management"
86,SOUTHERN NEW HAMPSHIRE UNIVERSITY,Bachelor of Science in Information Technologies in Cybersecurity
87,Towson University,B.S
89,"Western Governors University, University of Phoenix","MS in Information Technology in Management, BS in Information Technology/Business Systems in Continuing"
90,"University of Maryland University College, Saint Francis University","M.S in Database Administration, Graduate Certificate in Database Administration, BS in MIS"
91,Strayer University,"Bachelor of Science in research, design, Associate of Arts in Computer Information Systems, Certificate in cooperation"
92,"MCS Masters in Computer Science, BCS Bachelor of Computer Science, Information Systems Diploma in Business Administration, DCP MCP Diploma in Computer Programmer, Oracle Certified Associate","Masters in Computer Science, Bachelor of Computer Science, Diploma in Business Administration, Diploma in Computer Programmer, Oracle Certified Associate"
93,University of North Texas,Bachelor of Science in Criminal Justice
94,"San Antonio College, University of Texas San Antonio","mathematics and physics, Electrical Engineering"
95,California State University,Bachelor in Computer Information
98,"HOLY CROSS GREEK ORTHODOX SCHOOL OF THEOLOGY, UNIVERSITY OF TEXAS AT AUSTIN",B.A. in HISTORY AND CLASSICAL LANGUAGES
99,"Ambrose Alli University, Ekpoma, Edo State",Security+ Certification
100,Anne Arundel Community college,Associate of Applied Science in Information Assurance and Cybersecurity
101,"Columbia University (through EDX), Radboud University, Zuyd Hogeschool","MicroMasters in Artificial Intelligence and Machine Learning, Master's in Computer Science, Bachelor's in Computer Science"
102,Maseno University,BS in Computer Science
104,"Arizona State University-Polytechnic, Bucks County Community College","Business Communications, Associates Degree in Business Administration in Accounting"
105,University of Lagos,Bachelor of Science in Civil and Environmental Engineering
106,"Dade College, Coral Gables Senior High",A.A. in Networking Services Technology
107,Moscow Extern Humanitarian University,Associate in Culture and art
108,Hamline University,Bachelor of Arts in Digital Media Arts
109,University of South Alabama,"Master of Science in Computer Information Sciences, Bachelor of Science in International Business"
110,"Kennesaw State University, University of Benin","Master of Science in Information Systems, Bachelor of Engineering in Computer Engineering"
112,"University of North Carolina at Charlotte, Johnston Community College, Johnston County Early College Academy","Bachelor of Arts in Biology, Associates of Arts, H.S. Diploma"
113,The George Washington University,Bachelor of Science in Applied Mathematics
114,Osun state college of technology,Bachelor's in Financial Accounting
115,University of Texas at Dallas,"M.S. Information Technology in English, B.S. in Information Technology"
116,University of Illinois at Chicago,Bachelor of Science in Information & Decision Sciences
117,"University of Michigan, California Institute of Integral Studies, Arizona State University","Certificate in UX Research and Design, PhD in Transformative Inquiry & Consciousness Studies, Master of Liberal Arts in Science and Culture, BS in Industrial Technology Interactive Computer Graphics 3D"
118,Norfolk State University,B. S. in Accounting
119,Healing Hands Holistic Health School,
120,Morgan State University,Bachelor of Arts in Philosophy Pre-Law
121,The University,Master's Degree in Computer Science
122,"University of Texas at Dallas, Cambridge Institute of technology, Visvesvaraya Technological University","M.S in Business Analytics with specialization in Data Science and Marketing, B.E in Electronics and Communication"
123,University of Minnesota - Morris,Bachelor of Arts in Statistics
124,"University of Dschang, Prince Georges Community College","Bachelors, Associate"
125,National University,Bachelor's in Degree in Computer Science
126,College of Charleston,Bachelor of Science in Marie Biology
127,,
128,University of Buea,Associate in B.Sc. Political Science and Public Administration
129,International Islamic University of Chittagong (IIUC),Bachelors in Science in Computer Science and Engineering
131,"University of Illinois at Chicago, Sardar Vallabhbhai National Institute of Technology","Master of Science in Computer Science, Bachelor of Technology in Computer Engineering"
132,G. Pulla Reddy Engineering College,B.tech. in Electrical and Electronics Engineering
133,"Purdue University, Arizona State University","Bachelor of Science in Business Administration in Project Management, Doctorate of Behavioral Health in Behavioral Health"
134,"University of Texas at Dallas, Kurukshetra University","M.S. in Business Analytics, Bachelors of Technology in Computer Science and Engineering"
135,"CAPELLA UNIVERSITY, AMERICAN INTERNATIONAL UNIVERSITY, INDIANA UNIVERSITY","MBA in Human Resource Management, BA in Political Science, Business Management & Information Technology"
136,"GABELLI SCHOOL OF BUSINESS at FORDHAM UNIVERSITY, SCHOOL OF MANAGEMENT at SHANGHAI UNIVERSITY OF ENGINEERING SCIENCE","Master of Science in Information System, Bachelor of Science in Financial Management"
137,WEST VIRGINIA WESLEYAN COLLEGE,BACHELOR OF SCIENCE in Molecular Biology
139,University Of Yaoundé,Bachelor's Degree
140,Los Alamitos High School,Diploma
141,Utah State University,"Bachelors of Arts in History, Bachelors of Arts in International Studies"
142,"Ivy Tech Community College, University of Maryland University College, Lively Technical Center",Web Design Course
143,Kolhapur Institute of Technology,Bachelor of Engineering in Engineering Computer Science
144,"Western Governor's University, Metropolitan Community College of Kansas City","BS in Accounting, AA in Business Administration"
145,Rhode Island College,Political Science & Business
146,Florida International University,Bachelor of Management Information System in Suite
147,"Youngstown State University, Erie Community College","Bachelor of Science in Business Administration in Information and Supply Chain Management, Associate of Applied Science in Networking"
148,Lamar High School,High School Diploma
149,Intranetworking engineering PCage,High school
150,"Indiana University - Bloomington, IN",Bachelor of Liberal Studies in Healthcare Administration
151,Borough of Manhattan CC,Associate in Computer Science
152,Bapatla Engineering College,Bachelor's Degree in Information Technology
153,University of California - Santa Barbara,Bachelor's in Chemical Engineering
154,"North Western Polytechnic University, J.B Institute of Engineering and Technology","Master's in computer science, Bachelor of Technology in Bio Medical Engineering"
155,Metropolitan Community College,Associates Degree in Computer Science and Information Systems in Cybersecurity
157,University of ADO,Bachelor of Science in Geography
158,,
159,"Florida State University, Tamkang University","Master of Applied and Computational Mathematics in Applied and Computational Mathematics, Bachelor of Science in Mathematics in Mathematics"
160,"University of Arkansas at Little Rock, Uttar Pradesh Technical University","Master of Science in Information Quality, Bachelor of Engineering in Information Technology"
161,"Northwestern Polytechnic University, University of South Wales","MBA, MS in Aeronautical Engineering"
162,Virginia Commonwealth University,Bachelor of Science in Business Administration & Management
163,Kennesaw State University,Business Administration
164,"Oxford College of Emory University, Emory University","Associate in Psychology, Bachelor's in Psychology and Philosophy"
165,ADAMSON UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
166,"University of North Carolina at Asheville, University of North Carolina at Charlotte",BSc. in Computer Science
167,"University of Buea, Anoka Technical College","B. Sc in Biochemistry, Associates in Health Information Technology"
168,"DeVry University, The Ibadan Polytechnic",Electrical/Electronics Engineering
169,"Toni & Guy Hairdressing Academy-Colorado Springs, Musicians Institute","Cosmetology, Music"
171,Loyola University,Bachelor of Science in Business Administration in Information Systems in Systems Analysis and Design
172,George Washington University,Bachelors of Science
173,Aquinas College,B.A. in English Education
174,"Old Dominion University, ECPI College of Technology","Bachelors of Science in Modeling and Simulation Engineering, Associates Degree in Simulation and Game Programming"
175,"University of Illinois at Springfield, Eastern Iowa Community College, University of Lomé","Bachelor of Applied Science in Management Information Systems, Associate of Applied Science in Applied Science, Associate of Applied Computer Networking in Computer Networking, Accounting"
176,"UMUC, Cecil College, North East High School","Bachelor's in Computer Networks and Cybersecurity, AS in Computer Engineering, High School Diploma"
177,Regis Uni,Master's in Computer Science
178,Maryland College,B. S. in Computer Science
179,Pittsburg State University,Master of Science in Engineering Technology
181,Chittagong University,M.A. in Economics
182,Kwame Nkrumah University of Science and Technology,Bachelor of Arts in Geography and rural development
183,Dove Technology DeKalb Technical College,
184,"Campbellsville University, Northeastern University of Boston, University of Mumbai","post graduate diploma, MBA, B.sc"
185,"Lagos State University, Kennesaw State University","B.Sc. in Mathematics, Masters in Information Systems"
186,"Harrisburg University, New York Institute of Technology - New York, NY","Master of Science in Information Systems Engineering and Management, Bachelor of Science in Mechanical Engineering"
187,Institute of technical Education and Research,Bachelor's in Electrical and electronics engineering
188,COKER COLLEGE,Bachelor of Arts in Computer Science
189,American University,Bachelors of Arts in Political Science in Services Management
190,California State University,B.S. in Computer Engineering
191,"Jimma University, Northern Virginia Community college, Alemaya University","Bachelor of Science in Public Health Officer, Associates Degree in General Studies, Associates Degree in Public Health Nursing"
192,Nnamdi Azikiwe University,Bachelor of Science in Mathematics
193,Jawaharlal Nehru Technological University Hyderabad,Bachelor of Technology in Technology
194,Chattahoochee Technical College,Certification in Microsoft SQL
195,"University of Oklahoma, JNTU",Computer Science
196,,
197,,
198,"Change Management and Risk Management It Training Institute, University of Bamenda, It Training Institute","Bachelor of Arts in Banking and Finance, Diploma in computer data processing"
199,"Kennesaw State University, Georgia State University","Master of Science in Information Technology, Bachelor of Business Administration in Risk Management/Information Systems"
200,University of North Georgia,
201,Azerbaijan State Economic University,"MBA, Bachelor"
202,Indiana Tech,B.A. in Computer Networking
204,Pittsburg State University,Master of Science
206,,Bachelor's
207,Howard University,Associate in education
208,Excelsior College,"Master's in Cybersecurity, Bachelor's in English, Associate in Administrative Management"
209,Old Dominion University,Bachelor Degree in Information Technology
210,"UC Berkeley Extension, Data Group USA, University of Asmara","Certificate in Web Developer, certificate in SQL Data Base Administration, Computer Science"
212,Shippensburg University of Pennsylvania,Bachelor of Science in Business Administration in Management Information Systems in Business Administration
214,Columbus State University,"BBA in Finance, Master of Science in Computer Science"
215,"Texas State University - San Marcos, TX, University of Ilorin","Master of Science in Computer Science, Bachelor of Science in Computer Science"
216,"University of Georgia - Terry College of Business, Dove Technology","Bachelor's in Business Administration/Marketing, Certification in Database Administration"
217,"UNIVERSITY OF BUEA, PRINCE GEORGES COMMUNITY COLLEGE","BACHELOR'S DEGREE in LINQUISTICS, ASSOCIATE DEGREE in MANAGEMENT INFORMATION SYSTEM"
218,"Moore Norman Technology Center, Oklahoma City Community College, Advance School of Public Works","Associate Degree, certification"
220,"Johnson & Wales University, Sikkim Manipal University","Master's in Business Administration, Bachelor of Technology"
221,"Southern Illinois University Carbondale, Wabash Valley College","Bachelor degree in Information Systems Technology, Applied Arts and Science in Database Architecture"
222,University of Lagos,Masters in International Law and Diplomacy
223,Augusta State University,BS in Mathematics in Mathematics in Computer Science
224,"University of Maryland College Park, Community College of Baltimore County","Bachelors' of Science in Public Health, Associates of Arts in General Studies"
225,Baruch College,Bachelor of Business Administration in Business Administration
226,"DeVry University, Non-Commissioned Officer Academy","Bachelor's in Network and Communications Management, Certification in Basic Leadership"
228,Makerere University Kampala,Bachelor's Degree in Social Sciences
229,"Robert Morris University, Slippery Rock University of Pennsylvania","Master's in Organizational Leadership, Bachelor's in Public Relations, Minor in Marketing"
230,Bachelor's,
231,Miami University,BS
232,"Stony Brook University, ONLC Training Center","BS in Computer Science, Certificate of Completion in Oracle 11G Database"
233,"University of Maryland, University of Lagos","MBA, Bachelors in Business Administration"
234,University of Karachi,BS in Computer Science
235,Lagos State University,Bachelor of Science in Computer Science in Databases
236,Master's,
238,University of Buea,Bachelor's in Computer Engineering
239,Gulf Coast State College,"BS in Information Technology Management, AS in Software and Database Development"
240,University of Greenwich,Master of Science
241,Ladoke Akintola University of Technology,BSc. in Computer & Business Information Systems
242,Columbia Southern University,B.S. in Information Systems and Cyber Security
243,St. Joseph's College,Computer Information System
244,Addis Ababa University,Bachelor of Science
246,Addis Ababa University,B.Sc. in Mechanical Engineering
247,KNUST GHANA,B.Sc in Mathematics
248,Dixie State University,AS degree in Information Technology
249,Abia State University,Bachelor of Computer Science in Computer Science
250,,
251,University Of Buea,Bachelor of Science in Computer Science
252,Alemaya University,Bachelor's in Computer Science
254,Kent State University,Master of Science in Computer and Information Sciences
255,Vellore Institute Of Technology,B.Tech in Information Technology
256,Bachelor's,
257,Olabisi Onabanjo University,Business Administration
258,Debre Markos University,B.Sc. degree in computer science
260,Central Texas College,Associates in General Studies
261,"Western Governor's University, DevPoint Labs, University of California-Riverside","B.S. in Software Development, Full Stack Web Development Certificate, Certification in Supply Chain Management"
262,bls,computer science
263,,Bachelor's
264,"Strayer University, Lagos State University Ojo","MSc. in Information Systems, B.Tech. in Management Technology and Business Admin"
265,,
266,Tulane University,Bachelor of Science in Electrical Engineering
267,"Pace University, Osmania University, E. Gorton High School","Master of Science in Information Systems, Bachelor of Engineering in Computer Science"
268,University of Buea,BS in Environmental Science
269,"Addis Ababa University, Addis Ababa University Commercial College","B.S. in Computer Science, Associate Degree in Accounting"
270,Meridian Community College,A.A.S. in Computer Programming Technology
271,Miami University,BS
272,"Howard University, University of Yaounde II Soa","LLM in International Business, Bachelor of Science in Private International Law"
273,"Bahir Dar University, St Mary's University","Bachelor in Business Management, Diploma In Information Technology"
274,COASTLINE COMMUNITY COLLEGE,AA in Pre-Pharmacy studies
275,University of Bamenda,Bachelor's degree in information technology
276,"Adekunle Ajasin University, Standard Computer Academy","B.Sc (Edu). in Accounting, Diploma in Computer Hardware Engineering"
277,University of Phoenix,Bachelor of Information Technology in Database Administration
279,University of Buea,Bachelor's degree
280,"Strayer University, California Coast University, Jack Welch University","Bachelor's Degree in Business Law, Associate's Degree in Business Administration, Masters in Healthcare Administration"
281,"UCLA Extension, Hongik University","Accounting Certificate, Bachelor's in Computer Engineering"
282,"Fayetteville State University, Olive Harvey College","Bachelor Of Science, Associates Of Science"
283,University for Developments Studies,Bachelor Degree in Economics and Entrepreneurship Development
284,"Strayer University, St Philip's College","BS in Information Systems Database Development and Management, AS"
285,Nagpur University,Bachelors of Engineering in COMPUTER SCIENCE
286,JNTU Hyderabad,Bachelor of Technology in Technology
287,United States International University,Bachelor of Science in International Business Administration
288,State University of New York at Stony Brook,Bachelor of Science in Computer Science
289,OSMANIA UNIVERSITY,Bachelor in Commerce
290,"Punjab Technical University - Jalandhar, Punjab",Bachelor's in Information Technology
291,Central Michigan University,"Bachelor of Science in Business Administration in Finance in Business Administration, Master's in Administration, Leadership"
292,"Tshwane University of Technology, Nigel High School",N Dip in Journalism
293,University of Dschang,Bachelor's degree in Information Technology
294,West Liberty University,Bachelor of Science in Criminal Justice
295,"Western Governors University, Eastern Idaho Technical College","BS in Information Technology, Certificate in Computer Science Technical"
296,"Stratford University, Ajayi Crowther University","M.S. in Information Technology, B.Sc. in Business Administration"
297,University of Buea,BS in Computer Science
298,University of Puerto Rico at Mayagüez,Bachelor of Science in Business Administration
299,NORTH CAROLINA STATE UNIVERSITY,Bachelor's in Supply Chain Operations
300,Southern Polytechnic State University,Bachelor's Degree in Software Engineering
301,"Lebanon Valley College, Susquehanna University","Master of Business Administration in Healthcare Management, BS in Finance"
302,"Ogun State Polytechnic, The Polytechnic","Higher National Diploma (H.N.D) in Mass Communication, National Diploma (O.N.D) in Mass Communication"
303,"Ogun State Polytechnic, The Polytechnic","Higher National Diploma in (H.N.D) Mass Communication, National Diploma in (O.N.D) Mass Communication"
304,Norfolk State University,Bachelor of Science in Computer Engineering
305,Jawaharlal Nehru Technological University,B. Tech
306,The City College of the City University of New York,Econometrics
307,"University of Bridgeport, Nagpur University","Master of Science, Bachelor of Engineering in Engineering"
308,"The College at Old Westbury, State University of New York",Bachelor of Science in Accounting
310,"University of Kentucky, Middle Tennessee State University","MBA in Business Administration, Bachelor of Science"
312,"University of Delaware, Charter School of Wilmington","Bachelor's in Computer Science, Associate, High school or equivalent"
313,Tulsa Community College,MCDBA
314,Indiana University South Bend,Bachelor of Arts in Sociology in Spanish
315,Jawaharlal Nehru Technological University,
316,"University of Puerto Rico - Mayagüez, PR",BS in Computer Engineering
317,"Ajou University, University of Buea","Masters in International Trade, Bachelors of Science in Management"
318,Jimma University,Bachelor's Degree in Computer Science
320,University of Dschang,
321,WESTERN ILLIONIS UNIVERSITY,B.A.
322,University of Maryland University College,Bachelor's degree in Information Technology
323,"Rutgers, The State University of New Jersey, Essex County College","Master of Arts in Political Science, Bachelor of Arts in Political Science, Associate of Science in Social Science"
325,"University of Missouri - Columbia, MO",B.S. in Information Technology
326,"Mary Baldwin College, Liberty University Online, Richland High School","Bachelors of Science in Psychology, Master in Arts in Applied Psychology Program"
327,GED course,GED in General Studies
328,"The American International University, Strayer University","Bachelor in Computer Science, Associate in Information Technology"
329,"Azerbaijan State Oil Academy, Azerbaijan State Economic University, Virginia International University","Bachelor in Information Technology and Systems Engineering, MBA, Master of Science in Information Technology"
330,"Florida State University, Kurukshetra University","M.S in Computer Science, B.Tech in Electronics & Communication"
331,Federal University of Technology,Bachelor of Technology in Applied Geophysics
332,"Howard University, Bowie State University",
333,"Virginia Commonwealth University, Shanghai University of International Business and Economics","M.S. in Information Systems, B.S. in Economics"
334,Tufts University,Bachelor of Science in Electrical Engineering
335,"RAMAPO COLLEGE OF NEW JERSEY, COUNTY COLLEGE OF MORRIS","Bachelor of Arts in Visual Art, Associate of Fine Arts in Visual Art"
337,ITT Technical Institute,Associate of Applied Science in Computer Network Engineering
338,University of New Hampshire,BS in Management
339,"Pepperdine School of Law, Purdue University Global","Master of Legal Studies in Legal, Bachelor's in Paralegal Studies"
340,Rutgers University,Bachelor of the Arts in Sociology
341,California State University,Bachelor of Science in Information Systems & E-Commerce
342,National Institute of Technology,Associates of Science
343,Bowie State University,Bachelor of Science in Computer Science
344,"Southern New Hampshire University, ECPI University","Bachelor's in Cybersecurity, Associate in Computer Information Systems"
345,"New York University, Farleigh Dickinson University","Diploma in Cybersecurity, Bachelor of Business Administration in Business Administration"
346,National University Sofia Institute of Science & Technology,Bachelor of commerce in commerce
347,"University Phoenix, University of Ibadan","MSc in Business Administration, BSc in Computer Science"
348,Florida International University,Master of Science in Management Information Science
351,Addis Ababa University,Bachelor's Degree in Marketing Management
353,"Bunker Hill Community College, New University of Lisbon","Certificate in Health Information Tecnology, Bachelor of Science in Computer Science and Engineering in Computer Science"
354,University of Windsor,BS in Computer Science
355,"George Mason University, Northern Virginia Community College","B.A. in Economics, A.S. in General Studies"
356,Michigan State University,Bachelor of Science in Environmental Planning
357,"Columbia Broadcasting School, University of District of Columbia",Radio Announcing and Advertising
358,"Sri Krishna College of Engineering and Technology, Coimbatore, St Antony Matriculation Higher Secondary School",B.E. in Computer Science and Engineering
359,"California University of Management and Sciences, Bangalore University, Indo Asian Academy, Bangalore University Garden City College","Master's Degree in Computer Information Systems, MBA in Business Administration, BCA Bachelor of Computer Application"
360,University Of Yaounde,BS
361,"COIN Consultancy and Training Institute, Southern State Polytechnic University, Federal University of Tech. Akure","Diploma in Databases, CCNA, Bachelor of Engineering in (B.Eng.) Mechanical Engineering"
362,University of Lagos,Bachelor's Degree in Sociology
363,Rhode Island College,B.A. in English
364,John Brown University,Business and Science
366,"Pennsylvania State University, College of the Liberal Arts",Bachelor of Arts in International Politics
367,Ohio University,BS in Environmental Geography
368,"University of Salford, Madonna University International","M.S in Information system management, B.S in Computer Science"
369,University of Nigeria Nsukka,Computer Science
370,LSU,
371,Rajshahi University,Bachelor of Science in Computer Science in Engineering & Technology
372,George Mason University,Bachelor of Science in Computer Science
373,"The Ohio State University, Lorain County Community College",B.A. in Psychology in Pre-medicine
375,Concord University,Bachelor of Arts in Graphic Design in Graphic Design/Advertising
376,Morgan State University,Bachelor of Science in Telecommunications
377,"Bellevue University, The US Army Aviation Logistics School","Master of Science in Computer Information Systems / Database, Bachelor of Science in Computer Information Systems, Associate of Science in Management Information System"
378,Fort Hays State University,Master's in Information Systems
379,SOUTHERN NEW HAMPSHIRE UNIVERSITY,Bachelor's in Information Technologies with a concentration in Cybersecurity
380,"Stevenson University, Bishop McNamara High School",Film/Video
382,"Burk Baker Real Estate School, Southern University A&M College, BLINN College","Certification in Real Estate, Bachelor's of Science in Psychology, Associate in Business Management"
383,"Fullerton College, Unity University","Liberal Arts, Marketing degree"
384,"TROY UNIVERSITY, OBAFEMI AWOLOWO UNIVERSITY",Bachelor's Degree in Plant Physiology
385,"Bowie State University, Federal College of Animal Health and Production Technology","MSc in Management Information Systems, Bachelor of Science in Agriculture"
387,California State University - Fullerton,BACHELOR OF ARTS in INFORMATION SYSTEMS
388,"Trevecca Nazarene University, Tennessee State University","MBA in Healthcare Administration, B.S. in Chemistry"
389,University of Maryland Baltimore County,B. Sc. in Biological Sciences
390,"Western Governors University, Everett Community College","Bachelor of Science in Computer Science, Associates in Technical Arts in Computer Information Systems"
392,"The International University of Missouri, University of Karachi","MBA in Finance, Bachelor of Commerce in Commerce"
393,SUNY Empire State University,Business Management
394,University of Benin,B.Eng. in Mechanical Engineering
395,"The Catholic University of America, Boltos Solution Institute","Bachelors in Environmental Engineering, Oracle Database Administrator"
396,"University of Akron, Cuyahoga Community College","Bachelors in Business Administration in Marketing Management, Associate of Science"
397,"New York City College of Technology, Ahsanullah University Of Science and Technology","Bachelor of Computer Engineering Technology in Computer Engineering Technology, Bachelor of Computer Science and Engineering in Computer Science and Engineering"
398,"SUNY Corning Community College, Elmira Free Academy","A.A.S. in Information Technology, High School Diploma"
399,Maiwand Institute of Higher Education,Bachelor's
400,University of Lagos,"Master's Degree in International Law and Diplomacy, Bachelor of Arts in European Languages"
401,"University of Missouri - St. Louis, St. Louis Community College at Florissant Valley","B.S. in Information Systems, A.A in Electronic Engineering Technology"
402,Clinical Central Eastern University,Bachelor in Psychology
403,ECPI University,Bachelor of Science in Computing
404,Saint Leo University,"Masters of Business Administration in Project Management, Bachelor's in Business Administration/Project Management"
405,Abia State Polytechnic,BSc in Computer Science
406,"UMUC - Largo, MD, Community College of Baltimore County - Essex, MD","Cyber Security (BA Program), AAS in Information Technology"
407,"Jawaharlal Nehru Technological University, University of Illinois at Springfield","Bachelor's in Computer Science, Master's in Computer Science"
408,"University of York, University of North Carolina at Chapel Hill","Master of Science in Archaeological Information Systems, Master of Science in Information Systems, Bachelor of Arts in Cultural Anthropology"
409,"American Intercontinental University, Covenant University","MBA in Management, Bachelor of Management and Information Systems in Management and Information Systems"
410,University of Maryland,Master's in Cyber Security Engineering
411,"University of Delaware, University of Buea","Master's computer science, BS Computer Science"
412,"Santa Clara University, University of California - Los Angeles","Master of Science in Computer Engineering, Master of Science in Structural Engineering"
413,Southern New Hampshire University,A.A.S. in Computer Information Systems
414,"University of Maryland University College, Ezekiel Private College","BSC, Computer Network & Security in Computer Network & Security, High School Diploma in Social Science"
415,"Rochester Institute of Technology, Gautam Buddh Technical University","MBA in Management Information Systems & Marketing, BS in Computer Science Engineering"
416,Northeastern Illinois University,Master of Computer Science in Computer Science
417,ESSEX Community College,Associate in General Science
418,Hawassa University,Bachelor's degree
419,University of Technology,BSC in COMPUTING & INFORMATION
420,Cameroon college of Arts and Sciences,
421,Millersville University,Bachelors in Computer Science
422,"Keller Graduate School of Management, DeVry University","M.B.A. in Project Management, B.B.A. in Operations Management"
423,University of Maryland University College,Bachelors in Computer Science
426,"Anna Maria College, Dominican College","Master's Degree in Health Care Administration, Bachelor' of science in Health Science"
427,Some college,
428,"Keller Graduate School of Management, DeVry University","Master of Public Business Administration in Human Resources & Health Management, Bachelor of Science degree in Business Management & Human Resources in Business Management & Human Resources"
429,Northern Illinois University,Bachelor of Science in Accountancy
430,"American Public University, Slippery Rock University","Bachelor of Science in Information Technology, Bachelor of Arts in History"
