person_id,ability
13,"HP-UX, Sun Solaris, AIX, RHEL, Linux Enterprise Server, Windows, Database Monitoring, Backup & Recovery, Cloning, Troubleshooting, Physical Database Design, On-call Production Support, OEM Cloud Control, Transparent Data Encryption, Goldengate, Patch Deployment, Oracle Financial Services Lending and Leasing, Monitoring/Health Check Alert Scripts, Oracle RAC, Clusterware and ASM, OLTP and OLAP, Dataguard, Transportable Tablespaces, Data Pump, Export/Import Utilities, ADDM, SQL Tuning, Access Advisors, AWR, ASH, Explain Plan, Shell Scripts, Crontab, SQL Scripts, AWS Migration, TKPROF, Explain Plan, STATSPACK, Bilingual - French"
14,"Database creation and maintenance, SQL development, Database consolidation, Custom database solution, Web development, Hardware troubleshooting, Inventory management, Front desk duties"
15,"SQL Server Installation, SQL Server Configuration, SQL Server Administration, Data Modeling, Database Maintenance, Performance Tuning, Security Management, High Availability, Disaster Recovery, Business Intelligence, Cloud/Azure Migration, Database Automation, Monitoring, Troubleshooting"
16,"Over 6 years of SQL Server DBA and developer experience, Expertise in SQL Server administration, installation, configuration, monitoring and maintenance, Proficient in database performance tuning and troubleshooting, Strong experience in high availability solutions, Experienced in SQL Server upgrades and database migrations, Skilled in capacity planning and disaster recovery, Excellent T-SQL skills, Experience in ETL processes using SSIS, Hands-on experience in Azure SQL Server management, Knowledge of third-party tools like IDERA, Apex, JIRA, TSM and TDP"
17,"SQL Server Database Administration, Database Performance Analysis, Database Design, Database Development, Database Support, Replication, Cluster Server Environments, Database Development, Business Intelligence, Integration, Analysis, Reporting, ETL, SSIS, SSAS, SSRS, Power BI, Image Editing, Graphic Design, Adobe, Microsoft Office"
18,"SQL Server database administration, System Analysis, Design, Development and Support, Database design, installations, conversions, Database backup and recovery procedures, Database access security and integrity, Physical data storage design and management, Database Performance, Maintenance and Development, SQL Server service packs and updates configuration, SQL Security settings configuration, Database backup & recovery & DR planning, SQL Server Agent jobs and maintenance plans creation, modification, and optimization, Query Analyzer and Profiler for tuning queries, Backup plan and disaster recovery strategies design and implementation, Databases, tables, views, store procedures and triggers design and creation, Database performance troubleshooting and optimization, SQL Server Agent jobs review and corrective actions, Database Security management, Database monitoring and performance tuning, Database administration for SQL Server databases, Database security management, Database monitoring tools usage, Always on, clustered and mirrored environments experience, SQL Statements, Instance Parameters, and Data Storage tuning and optimization, Database systems patching and service packs installation, SQL Server Constraints utilization, T-SQL Stored Procedures, Triggers, Tables, User Defined Functions, Views and Indexes, Troubleshooting and user support, Upgrades and patches installation, User training, Technical documentation writing, Meetings with ERP team, development, QA, and End Users, Liaison between business and technical resources, Physical database model creation from logical database model, Testing to ensure systems' functionality, Ticketing queue and JIRA management, Ad-hoc queries creation using T-SQL, Complex T-SQL queries creation, 24x7 on call support, Requirement capturing and modeling, Testing on SQL modules"
19,"SQL Development, Database Administration, Reporting and Data Analytics, ETL Development, Backup and Recovery, Database Optimization, Query Tuning, Automation, System Maintenance, Data Manipulation and Cleansing, Application Support, Hardware Deployment and Troubleshooting"
20,"Systems Administrator, Database Administrator, Network Administration, EDI Setup and Monitoring, ERP System Management, SQL and Reporting, Active Directory Management, VMware Administration, Exchange Server Management, Troubleshooting and Problem-Solving, Project Management, Automation and Scripting, Technical Support and Training"
21,"Oracle Database Administration, Performance Tuning, High Availability, Data Protection, Oracle RAC, Oracle Data Guard, Oracle Golden Gate, SQL Tuning, UNIX Shell Scripting, Oracle Database Upgrades, SQL, PL/SQL, Oracle Flashback Technology, Capacity Planning, Oracle Advanced Compression, Database Security, Database Patching"
22,"Database Administration, Database Security, Software Installation, Data Migration, Monitoring, Troubleshooting, Backup and Recovery, Replication, Database Security, Transparent Data Encryption (TDE), OPatch, Memory Allocation Management, Performance Monitoring, Database Tuning, Written Communication, Verbal Communication, Organizational Skills, Leadership, Self-Motivation"
23,"Network Administrator, System Administrator, Database Administrator, Computer Science, New Technologies, Tooling Needs, Purchasing, Cost Savings, Automation, Sales Orders, Purchase Orders, Invoices, Order Entry, Billing, Reporting, Customer Service, Non-conformances, CARs, Continuous Improvements, Dashboard, Payroll System, File Sharing, Server Administration, Desktop Administration, Laptop Administration, Printer Administration, Router Administration, Firewall Administration, Smartphone Administration, Software Deployment, Security Updates, Patches, Troubleshooting, Upgrades, Network Security, System Security, Data Analysis, Reporting, AD Network Policies, SQL Scripting, Database Tuning, Database Backups, Database Archiving, Database Performance Alerting, Database Installations, Database Patches"
24,"DATABASE, DATABASES, ORACLE, SQL, RMAN, LINUX, HP-UX, UNIX, UX, SOLARIS, OEM, RED HAT, SUN, ACTIVE DIRECTORY, Amazon Elastic Block Storage, BEA, BEA WEBLOGIC, EBS, EMC, LOADER, MIDDLEWARE, WEBLOGIC, AIX, ODI"
25,"In-depth understanding of database security, Backup and recovery procedures, Database integrity, Highly organized, Prioritizing workload, Scheduling follow-ups, Extensive experience in Oracle 9i, 10g, 11g Administration, High level of energy, integrity and ethics, Deliver outstanding bottom line results with short deadlines, Analytical approach to problem solving, Detail specificity, Excellent writing and organizational skills, Team-oriented approach to co-workers, Planning and implementation of backup and recovery strategy, Physical backup and logical backup using EXPORT/IMPORT, Disaster recovery"
26,"Database administration, Database backup and recovery, Database monitoring, Database security, Database migration, Database tuning, Database standards and conventions, Database high availability, Database disaster recovery, Database scripting and automation, Database performance optimization, Database troubleshooting, Database support"
27,"Oracle Database Administrator, Backup & Recovery, Security Implementation, Upgrades, Patching, Migration, Database Design, Monitoring & Tuning, Replication, Transparent Data Encryption, Database Auditing, Patch Management, Database Architecture, Access Control, User Management"
28,"Database Administrator, Male Revue Dancer"
29,"Volunteer, SQL server database, Excellent client skills, Technical knowledge, Skills and abilities, Dynamic organization, Learn and further advance skillset, Highly motivated company, Action-oriented, Communicate effectively with technology, Production support MS SQL Server database administrator, Junior technical skills in MS SQL Server 2016 and 2017, System installation and upgrade, Backup and recovery, Database maintenance and support, Release management, Troubleshooting, Performance tuning, Configuration and support of DTS, SQL Server Agent jobs and maintenance plans, Monitor, optimize, and allocate physical data storage for database systems, Documentation of SQL servers builds and dependencies, Develop, implement, and maintain change control and testing processes for modifications to databases, Perform database transaction and security audits, Establish appropriate end-user database access control levels, Develop routines for end users to facilitate best practices database use, Experience with continuous integration build systems and tools, Data Protection transition from HP UX to Linux/Unix, Physical backups, daily disk to disk, monthly to tape long term recoveries for file systems, SQL, and Oracle DBs, Net gear ReadyNas 4260 to manage the law enforcement body cam storage, Created jobs, alerts, and SQL Mail Agents, Installed and configured multiple SQL Server instances in production environment, Backing up, restoring the data base manually and also by scheduling jobs and Maintenance Plans, Familiar with Veeam backup and replication software, Maintained the monitoring of all data communications systems, Set up computers and install software, Entered entire support activities and client details in tracking system, Effectively and clearly communicated with customers in their language, Responded to customer email and telephone IT concerns and issues, Analyzed customer computer requirements to meet user needs, Continually updated personal knowledge of computing hardware operating systems and software, Maintained confidentiality and discretion when working with passwords or sensitive materials, Imaged new PCs for clients"
30,"Motivated and skilled Oracle Database Administrator, Proficiency in Oracle Database 9i, 10g, 11g and 12c Administration, Backup and Recovery of Oracle Databases using RMAN utility and Logical Backups, Creation and maintenance of Oracle Data Guard, Knowledge on Real Application Cluster(RAC) and ASM (Automatic Storage Management), Analyzing STATSPACK, AWR, ADDM and Explain Plan Reports for performance tuning, Extensive use of Oracle Enterprise Manager Cloud Control 12c, Recover tables using Flashback recovery techniques, Administration of Tables, Indexes, Extent and User management, Configuring LISTENER and TNSNAMES in network applications, Monitoring of File system, Tablespaces (datafiles) usage, Archival Space Monitoring and regulating Archival growth, Creating and managing DBLINKs and Materialized views, Hands-on experience on Oracle Exadata Database x6 Machines (Half Rack), Adept in Oracle Golden Gate online sync and Replication monitoring"
31,"Relational database design, Analysis, Modeling, Development, Administration, Implementation, Troubleshooting, Quality management, Agile environment, AWS cloud, Oracle Cloud Infrastructure, Oracle Database upgrade, Active Data guard, MS-SQL server, MySQL, OLTP, Data Warehouse, ETL, ERWIN, Oracle Data Integrator, RMAN, Advance Compression, Oracle partitioning, Materialized Views, Database links, SQL, PL/SQL, TOAD, SQL Developer, Database Design, Database tuning, Application Tuning, Oracle Streams, Oracle Enterprise Manager, SQL Tuning Advisor, Oracle Scheduler, SQL Monitoring, Backup and recovery, Security, Compliance, Audit, Bash/shell scripts, GitHub, SVN"
32,"Database Development, SQL Server Reporting Services, SQL Server Integration Services, Microsoft Office, Microsoft Project, SQL Server Diagnostic Manager, SentryOne, DBA, Sql Dba, DB2, T-SQL, VBScript, Project Management, Powershell, SQL Server v4.3 - v2017, Database Management, ETL, SQL Server Database Administrator, Oracle, Batch Files, Oracle Database, Sql Server, Sql Database"
33,"Oracle Database Administration, RMAN, Datapump, SQL Tuning, Linux Administration, AWS Management, Data Guard, Golden Gate, Backup and Recovery, Performance Tuning"
34,"SQL Server Installation and upgrade, Database Migration, Database Architecture, SQL Server Security, SQL Server Backup and Restore, SQL Server High Availability, SQL Server Performance Tuning, Hardware and software troubleshooting, SSRS, SSIS, Database Management, SQL Server 2008, 2008R2, 2012, Database Maintenance, High Availability, Security Management, Query Optimization, Troubleshooting"
35,"Multi-project analysis, Agile scrum methodology, Technical resource planning, Database analysis, Technical recommendations, Legacy application(s) conversion to web, Requirements, Module definition, Scope, Resources, Percent completed, Time to completion, Project plan, Weekly status report, Executive and stakeholder report, Resource analysis tool, Cross team associate scrum master, Technical product development, Incident response database rewrite, Datacenter database migration, Physical to virtual database migrations, Microsoft SQL Server administration, Product development, Report writing, Stored procedures, Triggers, Views, System design, Troubleshooting, Backup & recovery, Log shipping & mirroring, High availability, Replication, Cluster setup & balancing, Performance tuning, Upgrades, Patch management, Version migrations, Optimization, Datacenter migrations, 24x7 support, Profiling, Security audits, Index performance analysis"
36,"Database Management, Oracle Database Administration, Telecommunication Sector, Production Support, Change Management, Release Management, Troubleshooting, Database Administration and Maintenance, Collaborating with International Multicultural Team, Authorized to work in the US for any employer, Design Database, Logical/Physical Layout, Schemes, Components, Replication, Data Distribution, Analyze Project Requirements, Data Analysis, Develop Data/Database Solution, Performance Solutions, Indexes, Partitions, Views, Stored Procedures, Data Access Efficiency, Production Layout Preparation, Installation, Company Standard, Policy, Business Requirement, DBA Activities, Datapump(expdp/impdp), Backup/Recovery, Installation, Configuration, Upgradation, Space Management, Cloning, User Management, DBCA, Automation, Standardization, Database Processes, Modification, Existing Processes, Methods, Storage Management, Re-Partitioning, Data Purge, Re-Sizing Datafile, Implementing Compression Routines, Reorganization, Re-Design Database Objects, Existing Growth Pattern, SQL Code Review, Support Developers, Data Model, Test Data Creation, Test Environment Setup, Data Refresh from Production, Release Control, Change Implementation Process Flow, Production Deployment, Data Migration, UNIX to LINUX Environment, Informix Database DBA Activities, Installation, Schema Migration, Dbexport, Dbimport, Data Migration, Dbaccess, Dbschema, Oncheck, Oninit/Onmode, Analyzing Market, Customer Data, New Database Structure, Key and Indexes, Security Control, Database Objects, Role Identifications, Privilege Control, Oracle Networking, Configure Listener, TNS, System Version Upgrades, Oracle Application DBA Activities, Installation, AD Utilities, Cloning, FNDCPASS Utility, Adpatch, User Management"
37,"SQL server, SQL server 2000, SQL, T-SQL, DBA, SQL DBA, Windows Server 2008R2\2012, Active Directory and SQL Administration/development, SSMS, Redgate, Idera, Azure, SQL Server 2000/2005/2008/2012,2014/2016, WINDOWS 2012/2008R2/2003/XP/NT, UNIX SHELL scripting, MS office"
38,"Software Development lifecycle, Business analysis, Waterfall and Agile (Scrum) methodologies, Requirements gathering, Analysis, Design, Implementation, Testing, Deployment, Facilitation, Project management, Stakeholder negotiation, Conflict resolution, Cross-functional coordination, Verbal and written communication, Analytics, Problem-solving, Documentation, Finance, Auto, Retail, Metrics, Process improvements, Cost saving, Risk tracking, Vendor coordination, Onsite and offshore streamlining, People management, PL/SQL, Oracle database, Application support, Database backup, Health checks, Web applications, IIS, ASP.Net, Debugging, Load balancer, Database support, Upgrades, Patches, Space management, SLA, Documentation, Shared infrastructure, Production support, ITSM, OTRS, CA Service Desk, IIS, Apache, Standalone applications, Server capabilities, Chatbots, Bold chat, LogMeIn, Notifications, Incident management, Change management, SOP, Best practices, Business requirements, Priorities, Options, Risks, Costs, SQL Server, CRM, Requirement elaboration, Business solutions, IT coordination, Systems testing, Application deployment, Training, Support, Compliance, Roadmaps, Dashboards, Inventory, Metrics, Sprints, Use cases, Workflows, Screen mock-ups, Conversion requirements, Stakeholder interaction, Improvement opportunities, Design review, Developer guidance, Enhancement prioritization, UI features, Resource management, Test scenario, UAT, Chatbot support, Bold chat, LogMeIn, Document analysis, Workshops, Process descriptions, Scenarios, Workflow analysis, Functional design, Implementation, Testing, Stakeholder liaison, Agile methodology, SOPs, Specifications, Reporting, SME interaction, User needs, Functional requirements, Non-functional requirements, Analysis workshops, Troubleshooting, System upgrades, Workflow charts, Reporting tools, QA support, Development support, UAT facilitation, Gap analysis, BA artifacts, Product/project releases, Agile collaboration, Retail analytics, Quantitative analysis, Qualitative analysis, Customer behavior, Retail trends, Ticketing application, Merchandise planning, Demand forecasting, Inventory management, Product performance, Defect tracking, Incident tracking, Feasibility assessment, Project proposals, Business cases, Feature design, Business analysis methods, Impact analysis, Risk assessment, Technical dependencies, Benefit validation, Test planning, Business standards, Security requirements, SLA, SQL queries, Root cause analysis, Database integrity, Code quality, Risk mitigation, Oracle database support, Oracle 10g/11g RAC, Database conversion, Backups, Recoveries, RMAN, Hot/cold backups, Database upgrades, Materialized views, SQL*Loader, External tables, Data loading, Partitioning, VERITAS Netback up, OEM monitoring, Cloning, Refreshing, Patching, Security, Proactive monitoring, Incident management, Problem management, Change management, Production support, Problem resolution, User account management, Index management, Tablespace management, Monitoring, Space management, ORA-error resolution, Job scheduling, Performance analysis, AWR, ADDM, Data file management, Health checks, Documentation"
39,"Installing and configuring different Oracle versions, Monitoring and managing databases, Performance tuning, Backup and recovery, Database security, Data migration, Database/schema refreshes, Cloning, Data Replication, Patch/Upgrade Installation, Physical Standby Data guard, 2 node RAC, Golden Gate for Oracle High Availability Solutions, Data warehouse and data modeling, PeopleSoft HR, FN and CRM support, ETL"
40,"Installing and configuring Oracle databases, Monitoring and managing databases, Performance tuning, Backup and recovery, Database security, Data migration, High availability solutions, Data warehousing and data modeling"
41,"Database Design, Database Maintenance, Performance Tuning, Database Troubleshooting, SQL Server Installation, Database Backup and Restore, Database Security, Database Mirroring, Database Automation, Database Migration, SQL Server Reporting, SQL Server Integration, PowerShell Scripting"
42,"Commitment, Leadership, Integrity, Configuring and monitoring AlwaysOn availability groups, Setting up and monitoring database mirroring, Migration of on premises databases to Azure, Identifying and fixing slow running queries, Database administration activities including; installation, configuration, capacity planning and space management, Recovery of databases from backups, implementing Point-in-Time Recovery solutions, Troubleshooting production issues, Upgrading database (in place and side by side), Setting up and monitoring Replication (transactional, snapshot, and merge), Migrated SSIS packages from SQL Server 2008 R2 to SSIS 2012, Scheduling Maintenance jobs and backup, Perform Technical analysis and troubleshooting on complex database problems, Collaborate with internal and external leadership to provide actionable data as needed, Oversaw quality plan for service center and recommended improvements, Provide quality feedback to team leaders to help facilitate quality improvement, Prepare and analyze reports to properly reflect outcomes and improve upon response, Plans, conducts, coordinates and implements a comprehensive training program for staff"
43,"SQL Server development, Stored Procedures/Transact-SQL coding, SSIS/SSRS/SSAS, OLTP and OLAP, Database Mirroring, Log Shipping, Transactional replication, Merge, Query Optimization, Database Consistency Checks, DBCC Utilities, Linked Servers, Performance tuning, DMV'S, DMF'S, Locks, Dead Locks, Isolation Level, Concurrency Effects, SQL Server 2012 Always ON availability groups, Replication, Database Snapshot, Log shipping, Database Mirroring, Notification service, Alerts, Jobs, Maintenance plans, Auditing plans, Backup/recovery plans, Analyzing query plans, Extended Stored Procedures, Indexes, Locks, Deadlocks, Replication Models, SQL Server clustering, Database Backup, Recovery solutions, Performance bottlenecks, CPU, I/O, Memory usage, Tables, Views, Normalization, Indexes, Stored Procedures, Cursors, Triggers, SQL joins, T-SQL statements, SQL Profiler, Index Tuning Wizard, Windows Performance Monitor, Policy Based Management, CDC, Data Compression, Resource Governor, Performance Data Collector, Transparent Data Encryption (TDE), TFS, Windows Native Clustering, SQL Clustering, SQL Always ON technology, MS Azure Database, SQL PDW (Analytic Platform System), PerfMon counters, Server App Tools, Packages Select, Service Now, PowerShell Scripting, DBArtisan, Netapp, Veritas NetBackup, EMC Avamar"
44,"implementing mission critical custom applications into the data warehouse, provide leadership into the logical and physical design of these custom applications, database administrator on these projects, manages the various relationships with various teams to successful implement these objectives throughout the SDLC, support infrastructure and development teams along with end users and business contacts, creation of a writeback environment in our Greenplum environment that allows data scientists and data analysts to ""writeback"" to the production environment, created a tool for these people to perform advanced analytics on the fly on production data, geospatial analytics, text analytics, decision trees and time series analysis"
45,"management, communication, leadership"
46,"US Airforce Military veteran, honorable discharge from the United States Navy, Database Administrator (DBA), Oracle12c, 11g, and 10g, production and development support, installation and configuration, backup and recovery, performance tuning, cloning and refreshes, security, database upgrades and patching, database migration, US government Secret security clearance, COMPTIA security+ certification"
47,"Installation and Configuration of DB2 environment, Upgradation of database, Actively Involved in design/configuring databases on HADR-TSA/HADR-VCS and VCS clusters, Apply the db2 patches by using zero down time Approach, Setting up the Q-Replication as per customer requirement by using Bi-Directional strategy, Experience in managing Table space Capacity Management, Archival logs and DB Backups, Extensive work experience in DB Tuning, Performance issues and Query Optimization, Having experience on DPF environment servers, Setting up the Zero Down Time server as per customer requirement by using database WRITE SUSPEND/RESUME mode, Strong knowledge in Database Physical Support and Design, Hands on experience on DB Backup and Recovery strategies, Hand-on experience in Migrating Databases from DB2 V9.x to V10.x, Extensive experience in working with db2 specific tools, Ensure availability of databases through database backups, verifying backups, ensure proper functioning of Jobs, Improve security by controlling user privileges/roles and implement profiles to meet the Security Standards, Create and maintain DB2 UDB instances and databases for development, test, and production environments within AIX operating environment, Implemented backup compression techniques and can support Time finder backups, Having good knowledge of AIX and Linux Operating System, Monitor security breaches, error log(s), database and log space, user activity and resource utilization of production environment, Work with application programmers to ensure that application problems do not adversely affect production operations, Stabilizing the DB2 environments and streamlined the systems, Identifying key milestones and deliverables, Configuring the High Availability techniques like HADR& HACMP, Installing and configuring the databases to IBM OPM tool for proactive monitoring of DB2 databases, Extensive experience in fine tuning of long running queries, Extensive experience in loading large volumes of data across DB's, Backup & Recovery of Database, Online database backup, archived log files and Offline, Granting / revoking various authorizations to different Users/Groups, Capture and analyze Explain and Visual Explain information, Usage of tools like DB2 Load, Import, Export and Reorg, Run stats, Reorg Check, Backup, Restore, Db2move and Db2look, Creation and management of both system level and object level roles and privileges for various users, Exposure on DR test & strategies like Failover Clustering/HADR, Cataloging Databases on various nodes, Involved in physical database layout design, Working with apps team to deploy the releases on time and more accurately, Snapshot monitoring was done to detect deadlocks, buffer pools and lock escalations, Provide assistance to the development team on performance tuning, resolving locking situations, assist data modeler with SQL scripts, Responsibilities include disaster recovery, capacity planning and Real Time monitoring, troubleshooting and proactive maintenance, Perform file system copy from production to non-production using TSM backup and recovering DB2 databases in non-production environment, Implemented Database partitioning and Archival logging in DB2 UDB, Troubleshoot the issues as and when required, Attending Weekend calls with offshore and onsite teams, Setup and maintain documentation and standards"
48,"security implementation, backup & recovery, high availability and disaster recovery solutions, upgrades, patching, performance monitoring and tuning, migration, database cloning, enthusiastic problem solver, fast-paced environment"
49,"SQL Server Installation, SQL Server Configuration, Data Modelling, Backup-Restore, Disaster Recovery, Monitoring, Troubleshooting, Performance Tuning, Query Optimization, Replications, AlwaysOn, Mirroring, Clustering, Log-Shipping, SQL/T-SQL, Stored Procedures, Functions, Triggers, Constraints, Views, Database Security, Dynamic Data Masking, TDE, Column level Encryption, Login Management, Permissions Management, Execution Plan, Profiler, Extended Event, DTA, ER-Diagram, RedGate, Idera, SolarWinds, JIRA, Service Desk, ER-Win, SSIS, SSRS, SSAS, AlwaysOn Configuration, Database Migration, Database Administration, Database Management, Automation, Index Management, Constraints Management, Data Modelling, Data Export/Import"
50,"SQL Server Database Administrator, Cloud-Azure and AWS, Data modeling, Business requirement gathering and analysis, Backup/recovery, Performance tuning, SQL Reporting Services (SSRS), Monitoring, Stored procedures, Triggers, Functions, Constraints, Views, Database third party tools, Daily task planning and prioritizing, Quick response and team player"
